date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:31	39108/39108	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Jun%202025%2013:05:39%20GMT	https://ejmse4m6ybw.exactdn.com/resources/514x350_nl_3.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/resources/514x350_nl_3.jpg	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:33	75871/75871	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2012:19:32%20GMT	https://kualalumpur.intercontinental.com/blog/chef-hiroshi-masuda-tatsu-japanese-cuisine-intercontinental-kuala-lumpur	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/blog/chef-hiroshi-masuda-tatsu-japanese-cuisine-intercontinental-kuala-lumpur.html	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:33	11776/11776	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Jun%202025%2015:10:11%20GMT	https://ejmse4m6ybw.exactdn.com/assets/containers/main/blog/32.jpg/d94573df1aa8fd216b439dc14de8c2d7.jpg	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/assets/containers/main/blog/32.jpg/d94573df1aa8fd216b439dc14de8c2d7.jpg	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:34	70053/70053	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2012:19:34%20GMT	https://kualalumpur.intercontinental.com/blog/hotel-timeshifter-app-jet-lag	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/blog/hotel-timeshifter-app-jet-lag.html	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:34	6935/6935	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jun%202025%2007:46:57%20GMT	https://ejmse4m6ybw.exactdn.com/assets/containers/main/blog/93.jpg/54c963ee7b40abb3933eb132da3f3fb4.jpg	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/assets/containers/main/blog/93.jpg/54c963ee7b40abb3933eb132da3f3fb4.jpg	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:35	72092/72092	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2012:19:35%20GMT	https://kualalumpur.intercontinental.com/blog/kuala-lumpur-shoppers-paradise	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/blog/kuala-lumpur-shoppers-paradise.html	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:35	13534/13534	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Jul%202025%2009:48:27%20GMT	https://ejmse4m6ybw.exactdn.com/assets/containers/main/blog/iws-(30).jpg/1207cd403edba636a1e254a40d4c07e2.jpg	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/assets/containers/main/blog/iws-(30).jpg/1207cd403edba636a1e254a40d4c07e2.jpg	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:37	15735/15735	---M--	200	added ('OK')	image/jpeg	date:Sat,%2021%20Jun%202025%2007:02:10%20GMT	https://ejmse4m6ybw.exactdn.com/assets/containers/main/blog/ickl-edm.jpg/7b0989a87713e4cb37c2b8ffa0e70b62.jpg	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/assets/containers/main/blog/ickl-edm.jpg/7b0989a87713e4cb37c2b8ffa0e70b62.jpg	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:37	80703/80703	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2012:19:36%20GMT	https://kualalumpur.intercontinental.com/blog/a-step-towards-a-sustainable-future	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/blog/a-step-towards-a-sustainable-future.html	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:38	65598/65598	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2012:19:38%20GMT	https://kualalumpur.intercontinental.com/blog/byredo	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/blog/byredo.html	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
